items,item_utilities,item_probabilities
214 260 763,846 552 1019,0.79 0.37 0.9
195 385 778 961,354 312 816 262,0.93 0.64 0.88 0.24
12 328 871 934,462 504 1016 330,0.25 0.04 0.4 0.29
282 359 715,279 528 310,0.03 0.68 0.52
16 586 785 898 975 1368 1551,1149 568 684 522 1128 710 231,0.49 0.15 0.29 0.89 0.3 0.03 0.6
151 557 1299,582 272 552,0.82 0.23 0.83
128 224 540 667 1276 1336 1453,106 346 153 798 429 1356 622,0.83 0.49 0.77 0.8 0.82 0.8 0.93
803 1346,702 940,0.43 0.73
258 1147,516 426,0.39 0.74
308 475 1130 1350 1440,872 783 465 276 843,0.25 0.09 0.49 0.68 0.33
497 701,748 150,0.63 0.83
248 354 760 774 1222 1430 1502,344 1125 561 735 490 1344 1124,0.85 0.95 0.69 0.43 0.3 0.56 0.99
1234 1505,224 1100,0.08 0.41
27 110 366 610 843 1065 1381 1419,795 705 708 908 882 564 651 249,0.66 0.58 0.35 0.02 0.14 0.26 0.4 0.85
638 1191 1347,944 420 531,0.2 0.63 0.72
16 216 326 409 925 1291 1314,1532 1080 494 1173 304 690 192,0.9 0.65 0.36 0.83 0.05 0.38 0.74
157 284 480 540 646 657 890 1399,885 396 676 153 384 424 522 356,0.76 0.13 0.94 0.34 0.05 0.3 0.85 0.67
128 404 544 854,212 375 885 320,0.12 0.05 0.43 0.07
747 1070 1236,732 1053 1328,0.3 0.17 0.98
573 1182 1255 1498,1017 420 248 690,0.72 0.46 0.75 0.21
279 606 623 895,846 530 540 130,0.03 0.97 0.7 0.3
393 853 942 1535,448 776 468 584,0.8 0.78 0.8 0.01
749 1358,801 840,0.99 0.42
892 1003 1086,546 312 759,0.28 0.14 0.2
35 445 851 1483 1520,663 692 1003 639 693,0.52 0.05 0.49 0.18 0.26
75 318 512 668 867 1394 1450 1471,204 741 1096 1572 564 505 1385 465,0.75 0.68 0.28 0.99 0.23 0.13 0.54 0.28
388 1324 1358,705 993 630,0.12 0.52 0.24
222 266 1108 1551,1580 810 819 463,0.27 0.71 0.77 0.48
130 910 933 1089 1172 1393,669 736 1352 494 831 740,0.6 0.3 0.71 0.72 0.02 0.48
68 390 557 973 1156 1432 1522,1068 1122 272 268 546 540 342,0.15 0.11 0.44 0.72 0.68 0.29 0.36
204 1513,480 570,0.33 0.94
473 1515,219 440,0.19 0.76
329 1111 1272 1455 1531,522 234 744 1011 102,0.2 0.42 0.02 0.68 0.46
69 306 340 356,930 1188 252 472,0.81 0.43 0.29 0.52
133 200 337 753 1063,280 795 300 378 636,0.47 0.83 0.33 0.97 0.65
227 670 942 1275 1312,594 537 702 234 306,0.46 0.53 0.55 0.27 0.95
455 622 705,672 243 264,0.63 0.14 0.23
645 678 761 1017 1267 1367 1394 1504,664 1107 509 1156 640 1428 759 476,0.61 0.5 0.59 0.67 0.85 0.9 0.75 0.94
619 642 902 1397,900 498 388 286,0.39 0.85 0.68 0.45
49 536 1351,1014 546 501,0.65 0.96 0.45
217 727 756 1366 1426 1543,272 573 803 1104 1122 744,0.68 0.67 0.55 0.34 0.03 0.84
24 257 833 893 1210 1339,865 159 956 364 850 393,0.78 0.81 0.51 0.4 0.56 0.27
398 458 575 808 903 1346,160 450 562 278 1008 470,0.27 0.52 0.28 0.89 0.27 0.27
80 323 556 778 1095 1132 1165,1089 1400 1300 816 316 664 564,0.83 0.81 0.33 0.26 0.44 0.28 0.17
263 546 633 1099 1255 1548,760 834 222 972 372 200,0.13 0.07 0.56 0.6 0.5 0.26
110 127 197 813,705 348 1164 434,0.87 0.13 0.88 0.27
268 634 657 917 1117,692 759 636 336 1092,0.45 0.83 0.62 0.79 0.56
199 211 378 388 1254 1447,501 1088 222 940 734 888,0.75 0.18 0.66 0.73 0.82 0.1
149 428 1224 1237 1297 1403 1487,747 268 372 825 830 1220 285,0.61 0.87 0.91 0.43 0.13 0.63 0.43
376 493,681 1056,0.65 0.93
1294 1483,344 852,0.55 0.34
258 624 907 1061,516 984 1710 664,0.85 0.3 0.15 0.08
468 541 844 1273 1356,522 752 662 993 640,0.62 0.92 0.2 0.81 0.41
147 224 617 823 1179,256 519 463 686 1052,0.66 0.24 0.43 0.89 0.33
1312 1382,765 451,0.56 0.33
767,434,0.21
121 398 487 554 1080 1342 1496,894 160 1040 942 438 1119 741,0.5 0.89 0.03 0.19 0.33 0.99 0.19
28 381 437 547 631 887 1130 1363,1173 699 591 462 312 720 620 798,0.31 0.68 0.04 0.44 0.22 0.4 0.15 0.97
56 213 778 1061,142 112 816 830,0.04 0.59 0.89 0.19
432 736,940 639,0.57 0.19
349 559 765 1075,468 756 576 308,0.81 0.32 0.8 0.05
143 653 682 969 1291 1325 1352 1468,492 556 244 704 690 715 1060 252,0.71 0.21 0.07 0.22 0.93 0.33 0.24 0.33
551 751 761 967 1277,963 657 509 122 762,0.24 0.19 0.27 0.19 0.4
