Results of ITUFP Algorithm
==================================================
Top-300 High-Utility Itemsets:
==================================================
1. Itemset: 40,48 | Total Utility: 293650.00 | Expected Support: 770.89
2. Itemset: 52,40 | Total Utility: 292440.00 | Expected Support: 822.98
3. Itemset: 40,34 | Total Utility: 279933.00 | Expected Support: 784.40
4. Itemset: 40,29 | Total Utility: 258883.00 | Expected Support: 808.53
5. Itemset: 40,60 | Total Utility: 255739.00 | Expected Support: 806.44
6. Itemset: 40,66 | Total Utility: 245690.00 | Expected Support: 770.20
7. Itemset: 40,56 | Total Utility: 245670.00 | Expected Support: 788.05
8. Itemset: 40,7 | Total Utility: 233117.00 | Expected Support: 771.59
9. Itemset: 40,3 | Total Utility: 229034.00 | Expected Support: 733.24
10. Itemset: 40,5 | Total Utility: 225301.00 | Expected Support: 777.34
11. Itemset: 40,72 | Total Utility: 216269.00 | Expected Support: 587.43
12. Itemset: 40,64 | Total Utility: 214779.00 | Expected Support: 684.93
13. Itemset: 52,48 | Total Utility: 214110.00 | Expected Support: 769.02
14. Itemset: 40,58 | Total Utility: 206964.00 | Expected Support: 815.73
15. Itemset: 40,9 | Total Utility: 203116.00 | Expected Support: 737.54
16. Itemset: 40,36 | Total Utility: 200465.00 | Expected Support: 802.50
17. Itemset: 40,62 | Total Utility: 198913.00 | Expected Support: 782.26
18. Itemset: 52,34 | Total Utility: 198660.00 | Expected Support: 786.36
19. Itemset: 40,68 | Total Utility: 192659.00 | Expected Support: 504.07
20. Itemset: 40,31 | Total Utility: 192417.00 | Expected Support: 650.71
21. Itemset: 40 | Total Utility: 189618.00 | Expected Support: 1618.27
22. Itemset: 40,17 | Total Utility: 188228.00 | Expected Support: 632.10
23. Itemset: 40,25 | Total Utility: 185183.00 | Expected Support: 707.52
24. Itemset: 40,11 | Total Utility: 184012.00 | Expected Support: 538.88
25. Itemset: 29,48 | Total Utility: 182462.00 | Expected Support: 754.86
26. Itemset: 60,48 | Total Utility: 180861.00 | Expected Support: 768.41
27. Itemset: 40,42 | Total Utility: 176410.00 | Expected Support: 708.63
28. Itemset: 52,29 | Total Utility: 174296.00 | Expected Support: 815.74
29. Itemset: 40,50 | Total Utility: 173690.00 | Expected Support: 503.37
30. Itemset: 52,60 | Total Utility: 171710.00 | Expected Support: 827.14
31. Itemset: 40,44 | Total Utility: 168885.00 | Expected Support: 652.21
32. Itemset: 29,34 | Total Utility: 167404.00 | Expected Support: 771.28
33. Itemset: 52,56 | Total Utility: 165814.00 | Expected Support: 792.19
34. Itemset: 40,46 | Total Utility: 165475.00 | Expected Support: 662.61
35. Itemset: 52,66 | Total Utility: 165370.00 | Expected Support: 786.59
36. Itemset: 60,34 | Total Utility: 164322.00 | Expected Support: 770.07
37. Itemset: 40,1 | Total Utility: 163741.00 | Expected Support: 434.80
38. Itemset: 40,23 | Total Utility: 157239.00 | Expected Support: 463.14
39. Itemset: 40,74 | Total Utility: 157064.00 | Expected Support: 636.29
40. Itemset: 52,72 | Total Utility: 155136.00 | Expected Support: 607.69
41. Itemset: 52,3 | Total Utility: 154308.00 | Expected Support: 729.24
42. Itemset: 40,27 | Total Utility: 153300.00 | Expected Support: 559.18
43. Itemset: 40,15 | Total Utility: 151603.00 | Expected Support: 503.52
44. Itemset: 52,7 | Total Utility: 151236.00 | Expected Support: 786.45
