Results of ITUFP Algorithm
==================================================
Top-300 High-Utility Itemsets:
==================================================
1. Itemset: 1373 | Total Utility: 25560.00 | Expected Support: 12.24
2. Itemset: 1292 | Total Utility: 24642.00 | Expected Support: 12.14
3. Itemset: 988 | Total Utility: 24187.00 | Expected Support: 9.94
4. Itemset: 225 | Total Utility: 22951.00 | Expected Support: 8.39
5. Itemset: 222 | Total Utility: 22910.00 | Expected Support: 7.71
6. Itemset: 272 | Total Utility: 22678.00 | Expected Support: 12.84
7. Itemset: 1426 | Total Utility: 21692.00 | Expected Support: 10.78
8. Itemset: 1161 | Total Utility: 21540.00 | Expected Support: 8.29
9. Itemset: 83 | Total Utility: 20563.00 | Expected Support: 8.23
10. Itemset: 1518 | Total Utility: 20416.00 | Expected Support: 8.76
11. Itemset: 1012 | Total Utility: 19861.00 | Expected Support: 11.06
12. Itemset: 1497 | Total Utility: 19406.00 | Expected Support: 8.21
13. Itemset: 1508 | Total Utility: 19116.00 | Expected Support: 8.96
14. Itemset: 276 | Total Utility: 18528.00 | Expected Support: 9.26
15. Itemset: 614 | Total Utility: 18522.00 | Expected Support: 8.99
16. Itemset: 278 | Total Utility: 18480.00 | Expected Support: 7.95
17. Itemset: 918 | Total Utility: 18414.00 | Expected Support: 10.97
18. Itemset: 470 | Total Utility: 18259.00 | Expected Support: 8.83
19. Itemset: 1110 | Total Utility: 17920.00 | Expected Support: 9.28
20. Itemset: 179 | Total Utility: 17875.00 | Expected Support: 7.86
21. Itemset: 447 | Total Utility: 17856.00 | Expected Support: 10.88
22. Itemset: 1121 | Total Utility: 17802.00 | Expected Support: 8.49
23. Itemset: 422 | Total Utility: 17616.00 | Expected Support: 7.77
24. Itemset: 508 | Total Utility: 17055.00 | Expected Support: 7.68
25. Itemset: 111 | Total Utility: 17052.00 | Expected Support: 10.22
26. Itemset: 1398 | Total Utility: 17002.00 | Expected Support: 9.27
27. Itemset: 1345 | Total Utility: 16927.00 | Expected Support: 9.70
28. Itemset: 502 | Total Utility: 16801.00 | Expected Support: 9.46
29. Itemset: 1493 | Total Utility: 16632.00 | Expected Support: 8.49
30. Itemset: 11 | Total Utility: 16497.00 | Expected Support: 7.83
31. Itemset: 274 | Total Utility: 16456.00 | Expected Support: 8.54
32. Itemset: 69 | Total Utility: 16430.00 | Expected Support: 8.42
33. Itemset: 313 | Total Utility: 16245.00 | Expected Support: 9.44
34. Itemset: 189 | Total Utility: 16215.00 | Expected Support: 8.45
