Top-K High Utility Patterns:
1. Itemset: [1373], Total Utility: 25560.0
2. Itemset: [1292], Total Utility: 24642.0
3. Itemset: [988], Total Utility: 24187.0
4. Itemset: [225], Total Utility: 22951.0
5. Itemset: [222], Total Utility: 22910.0
6. Itemset: [272], Total Utility: 22678.0
7. Itemset: [1426], Total Utility: 21692.0
8. Itemset: [1161], Total Utility: 21540.0
9. Itemset: [1045], Total Utility: 21090.0
10. Itemset: [446], Total Utility: 20625.0
11. Itemset: [83], Total Utility: 20563.0
12. Itemset: [1518], Total Utility: 20416.0
13. Itemset: [1180], Total Utility: 19890.0
14. Itemset: [1012], Total Utility: 19861.0
15. Itemset: [175], Total Utility: 19635.0
16. Itemset: [1380], Total Utility: 19548.0
17. Itemset: [1368], Total Utility: 19525.0
18. Itemset: [1497], Total Utility: 19406.0
19. Itemset: [937], Total Utility: 19133.0
20. Itemset: [1508], Total Utility: 19116.0
21. Itemset: [1310], Total Utility: 19102.0
22. Itemset: [409], Total Utility: 18768.0
23. Itemset: [941], Total Utility: 18565.0
24. Itemset: [276], Total Utility: 18528.0
25. Itemset: [614], Total Utility: 18522.0
26. Itemset: [278], Total Utility: 18480.0
27. Itemset: [1094], Total Utility: 18473.0
28. Itemset: [918], Total Utility: 18414.0
29. Itemset: [470], Total Utility: 18259.0
30. Itemset: [1282], Total Utility: 18232.0
31. Itemset: [702], Total Utility: 18048.0
32. Itemset: [1110], Total Utility: 17920.0
33. Itemset: [179], Total Utility: 17875.0
34. Itemset: [447], Total Utility: 17856.0
35. Itemset: [1121], Total Utility: 17802.0
36. Itemset: [246], Total Utility: 17655.0
37. Itemset: [422], Total Utility: 17616.0
38. Itemset: [365], Total Utility: 17424.0
39. Itemset: [235], Total Utility: 17395.0
40. Itemset: [49], Total Utility: 17238.0
41. Itemset: [907], Total Utility: 17100.0
42. Itemset: [80], Total Utility: 17060.0
43. Itemset: [508], Total Utility: 17055.0
44. Itemset: [111], Total Utility: 17052.0
45. Itemset: [712], Total Utility: 17028.0
46. Itemset: [137], Total Utility: 17020.0
47. Itemset: [1398], Total Utility: 17002.0
48. Itemset: [320], Total Utility: 16947.0
49. Itemset: [1345], Total Utility: 16927.0
50. Itemset: [502], Total Utility: 16801.0
51. Itemset: [362], Total Utility: 16674.0
52. Itemset: [1493], Total Utility: 16632.0
53. Itemset: [11], Total Utility: 16497.0
54. Itemset: [274], Total Utility: 16456.0
55. Itemset: [69], Total Utility: 16430.0
56. Itemset: [776], Total Utility: 16338.0
57. Itemset: [313], Total Utility: 16245.0
58. Itemset: [189], Total Utility: 16215.0
59. Itemset: [474], Total Utility: 16192.0
60. Itemset: [506], Total Utility: 16192.0
61. Itemset: [530], Total Utility: 16168.0
62. Itemset: [27], Total Utility: 16165.0
63. Itemset: [1202], Total Utility: 16154.0
64. Itemset: [1423], Total Utility: 16116.0
65. Itemset: [419], Total Utility: 16065.0
66. Itemset: [844], Total Utility: 15888.0
67. Itemset: [532], Total Utility: 15867.0
68. Itemset: [449], Total Utility: 15867.0
69. Itemset: [1516], Total Utility: 15792.0
70. Itemset: [379], Total Utility: 15785.0
71. Itemset: [55], Total Utility: 15750.0
72. Itemset: [1150], Total Utility: 15631.0
73. Itemset: [1088], Total Utility: 15604.0
74. Itemset: [832], Total Utility: 15552.0
75. Itemset: [1159], Total Utility: 15498.0
76. Itemset: [1077], Total Utility: 15455.0
77. Itemset: [823], Total Utility: 15435.0
78. Itemset: [1081], Total Utility: 15423.0
79. Itemset: [639], Total Utility: 15415.0
80. Itemset: [323], Total Utility: 15400.0
81. Itemset: [868], Total Utility: 15392.0
82. Itemset: [835], Total Utility: 15356.0
83. Itemset: [1049], Total Utility: 15327.0
84. Itemset: [283], Total Utility: 15288.0
85. Itemset: [1389], Total Utility: 15254.0
86. Itemset: [1093], Total Utility: 15174.0
87. Itemset: [104], Total Utility: 15171.0
88. Itemset: [916], Total Utility: 15163.0
89. Itemset: [1136], Total Utility: 15162.0
90. Itemset: [123], Total Utility: 14976.0
91. Itemset: [190], Total Utility: 14960.0
92. Itemset: [464], Total Utility: 14952.0
93. Itemset: [668], Total Utility: 14933.0
94. Itemset: [1453], Total Utility: 14928.0
95. Itemset: [1336], Total Utility: 14916.0
96. Itemset: [445], Total Utility: 14878.0
97. Itemset: [924], Total Utility: 14850.0
98. Itemset: [520], Total Utility: 14840.0
99. Itemset: [53], Total Utility: 14801.0
100. Itemset: [1464], Total Utility: 14800.0
101. Itemset: [491], Total Utility: 14742.0
102. Itemset: [330], Total Utility: 14726.0
103. Itemset: [170], Total Utility: 14720.0
104. Itemset: [300], Total Utility: 14700.0
105. Itemset: [812], Total Utility: 14696.0
106. Itemset: [1254], Total Utility: 14680.0
107. Itemset: [1387], Total Utility: 14658.0
108. Itemset: [306], Total Utility: 14652.0
109. Itemset: [903], Total Utility: 14616.0
110. Itemset: [1076], Total Utility: 14580.0
111. Itemset: [231], Total Utility: 14575.0
