Results of ITUFP Algorithm
==================================================
Top-300 High-Utility Itemsets:
==================================================
1. Itemset: 75,72 | Total Utility: 5806464.00 | Expected Support: 16735.94
2. Itemset: 75,52 | Total Utility: 5342426.00 | Expected Support: 16462.20
3. Itemset: 109,75 | Total Utility: 4803838.00 | Expected Support: 17127.86
4. Itemset: 75,19 | Total Utility: 4773186.00 | Expected Support: 16914.86
5. Itemset: 109,72 | Total Utility: 4719570.00 | Expected Support: 16835.55
6. Itemset: 75,82 | Total Utility: 4430327.00 | Expected Support: 15819.93
7. Itemset: 109,52 | Total Utility: 4298532.00 | Expected Support: 16589.12
8. Itemset: 75,34 | Total Utility: 4284116.00 | Expected Support: 16462.04
9. Itemset: 91,75 | Total Utility: 4060910.00 | Expected Support: 17153.42
10. Itemset: 75,13 | Total Utility: 4039712.00 | Expected Support: 15589.51
11. Itemset: 37,75 | Total Utility: 4036341.00 | Expected Support: 17053.89
12. Itemset: 91,72 | Total Utility: 3988983.00 | Expected Support: 16800.39
13. Itemset: 37,72 | Total Utility: 3964157.00 | Expected Support: 16734.23
14. Itemset: 75,85 | Total Utility: 3939580.00 | Expected Support: 16580.94
15. Itemset: 75,16 | Total Utility: 3929216.00 | Expected Support: 16563.95
16. Itemset: 75,69 | Total Utility: 3813792.00 | Expected Support: 16061.75
17. Itemset: 109,19 | Total Utility: 3692505.00 | Expected Support: 17149.31
18. Itemset: 75,31 | Total Utility: 3683638.00 | Expected Support: 15535.80
19. Itemset: 75,49 | Total Utility: 3651474.00 | Expected Support: 15358.61
20. Itemset: 75,79 | Total Utility: 3646964.00 | Expected Support: 14079.77
21. Itemset: 75,100 | Total Utility: 3630705.00 | Expected Support: 15240.49
22. Itemset: 91,52 | Total Utility: 3577330.00 | Expected Support: 16598.08
23. Itemset: 37,52 | Total Utility: 3555898.00 | Expected Support: 16492.82
24. Itemset: 75,103 | Total Utility: 3544008.00 | Expected Support: 16450.53
25. Itemset: 109,82 | Total Utility: 3427290.00 | Expected Support: 15963.25
26. Itemset: 127,75 | Total Utility: 3320924.00 | Expected Support: 17110.67
27. Itemset: 75,55 | Total Utility: 3301455.00 | Expected Support: 16915.11
28. Itemset: 88,75 | Total Utility: 3296548.00 | Expected Support: 17017.61
29. Itemset: 75,106 | Total Utility: 3287779.00 | Expected Support: 16920.21
30. Itemset: 75,124 | Total Utility: 3283457.00 | Expected Support: 16902.58
31. Itemset: 127,72 | Total Utility: 3262462.00 | Expected Support: 16788.08
32. Itemset: 88,72 | Total Utility: 3237295.00 | Expected Support: 16696.71
33. Itemset: 109,34 | Total Utility: 3231243.00 | Expected Support: 16611.09
34. Itemset: 109,115 | Total Utility: 3177249.00 | Expected Support: 12258.18
35. Itemset: 75,121 | Total Utility: 3162471.00 | Expected Support: 16264.13
36. Itemset: 109,13 | Total Utility: 3047365.00 | Expected Support: 15718.01
37. Itemset: 109,91 | Total Utility: 2970597.00 | Expected Support: 17261.61
38. Itemset: 75 | Total Utility: 2955896.00 | Expected Support: 33891.42
39. Itemset: 109,37 | Total Utility: 2953839.00 | Expected Support: 17173.86
40. Itemset: 91,19 | Total Utility: 2951195.00 | Expected Support: 17131.29
41. Itemset: 37,19 | Total Utility: 2933825.00 | Expected Support: 16964.75
42. Itemset: 109,46 | Total Utility: 2909050.00 | Expected Support: 13529.32
43. Itemset: 72 | Total Utility: 2904216.00 | Expected Support: 33240.42
44. Itemset: 75,118 | Total Utility: 2895586.00 | Expected Support: 14884.77
45. Itemset: 109,85 | Total Utility: 2882220.00 | Expected Support: 16736.59
46. Itemset: 109,16 | Total Utility: 2875693.00 | Expected Support: 16672.85
47. Itemset: 127,52 | Total Utility: 2860397.00 | Expected Support: 16587.17
48. Itemset: 75,66 | Total Utility: 2857994.00 | Expected Support: 14732.98
49. Itemset: 88,52 | Total Utility: 2838089.00 | Expected Support: 16474.08
50. Itemset: 109,69 | Total Utility: 2779462.00 | Expected Support: 16114.88
51. Itemset: 109,79 | Total Utility: 2751447.00 | Expected Support: 14238.87
52. Itemset: 91,82 | Total Utility: 2741973.00 | Expected Support: 15945.69
53. Itemset: 109,10 | Total Utility: 2735380.00 | Expected Support: 14039.13
54. Itemset: 37,82 | Total Utility: 2719473.00 | Expected Support: 15809.49
55. Itemset: 109,31 | Total Utility: 2695430.00 | Expected Support: 15678.28
56. Itemset: 109,49 | Total Utility: 2673833.00 | Expected Support: 15511.28
57. Itemset: 109,100 | Total Utility: 2660757.00 | Expected Support: 15432.66
58. Itemset: 91,115 | Total Utility: 2646943.00 | Expected Support: 12303.52
59. Itemset: 37,34 | Total Utility: 2514945.00 | Expected Support: 16633.19
60. Itemset: 91,34 | Total Utility: 2509727.00 | Expected Support: 16613.29
61. Itemset: 52 | Total Utility: 2506364.00 | Expected Support: 32811.50
62. Itemset: 109,103 | Total Utility: 2500448.00 | Expected Support: 16652.56
63. Itemset: 109,76 | Total Utility: 2473113.00 | Expected Support: 10442.57
64. Itemset: 109,28 | Total Utility: 2393964.00 | Expected Support: 13875.44
65. Itemset: 91,13 | Total Utility: 2366242.00 | Expected Support: 15796.44
66. Itemset: 37,13 | Total Utility: 2350880.00 | Expected Support: 15598.18
67. Itemset: 91,46 | Total Utility: 2322538.00 | Expected Support: 13489.79
