Results of ITUFP Algorithm
==================================================
Top-300 High-Utility Itemsets:
==================================================
1. Itemset: 1373 | Total Utility: 25560.00 | Expected Support: 12.24
2. Itemset: 1292 | Total Utility: 24642.00 | Expected Support: 12.14
3. Itemset: 988 | Total Utility: 24187.00 | Expected Support: 9.94
4. Itemset: 225 | Total Utility: 22951.00 | Expected Support: 8.39
5. Itemset: 222 | Total Utility: 22910.00 | Expected Support: 7.71
6. Itemset: 272 | Total Utility: 22678.00 | Expected Support: 12.84
7. Itemset: 1426 | Total Utility: 21692.00 | Expected Support: 10.78
8. Itemset: 1161 | Total Utility: 21540.00 | Expected Support: 8.29
9. Itemset: 1045 | Total Utility: 21090.00 | Expected Support: 7.26
10. Itemset: 446 | Total Utility: 20625.00 | Expected Support: 6.92
11. Itemset: 83 | Total Utility: 20563.00 | Expected Support: 8.23
12. Itemset: 1518 | Total Utility: 20416.00 | Expected Support: 8.76
13. Itemset: 1180 | Total Utility: 19890.00 | Expected Support: 6.00
14. Itemset: 1012 | Total Utility: 19861.00 | Expected Support: 11.06
15. Itemset: 175 | Total Utility: 19635.00 | Expected Support: 6.69
16. Itemset: 1380 | Total Utility: 19548.00 | Expected Support: 7.24
17. Itemset: 1368 | Total Utility: 19525.00 | Expected Support: 7.10
18. Itemset: 1497 | Total Utility: 19406.00 | Expected Support: 8.21
19. Itemset: 937 | Total Utility: 19133.00 | Expected Support: 6.17
20. Itemset: 1508 | Total Utility: 19116.00 | Expected Support: 8.96
21. Itemset: 1310 | Total Utility: 19102.00 | Expected Support: 6.44
22. Itemset: 409 | Total Utility: 18768.00 | Expected Support: 7.22
23. Itemset: 941 | Total Utility: 18565.00 | Expected Support: 5.30
24. Itemset: 276 | Total Utility: 18528.00 | Expected Support: 9.26
25. Itemset: 614 | Total Utility: 18522.00 | Expected Support: 8.99
26. Itemset: 278 | Total Utility: 18480.00 | Expected Support: 7.95
27. Itemset: 1094 | Total Utility: 18473.00 | Expected Support: 5.96
28. Itemset: 918 | Total Utility: 18414.00 | Expected Support: 10.97
29. Itemset: 470 | Total Utility: 18259.00 | Expected Support: 8.83
30. Itemset: 1282 | Total Utility: 18232.00 | Expected Support: 7.40
31. Itemset: 702 | Total Utility: 18048.00 | Expected Support: 5.52
32. Itemset: 1110 | Total Utility: 17920.00 | Expected Support: 9.28
33. Itemset: 179 | Total Utility: 17875.00 | Expected Support: 7.86
34. Itemset: 447 | Total Utility: 17856.00 | Expected Support: 10.88
