Results of ITUFP Algorithm
==================================================
Top-300 High-Utility Itemsets:
==================================================
1. Itemset: 40,49 | Total Utility: 481021.00 | Expected Support: 7374.69
2. Itemset: 49 | Total Utility: 463274.00 | Expected Support: 21320.30
3. Itemset: 40 | Total Utility: 278489.00 | Expected Support: 25538.01
4. Itemset: 33 | Total Utility: 251640.00 | Expected Support: 7647.21
5. Itemset: 40,42 | Total Utility: 250893.00 | Expected Support: 2852.89
6. Itemset: 49,42 | Total Utility: 248294.00 | Expected Support: 2302.43
7. Itemset: 42 | Total Utility: 246819.00 | Expected Support: 7482.03
8. Itemset: 40,49,42 | Total Utility: 243161.00 | Expected Support: 931.66
9. Itemset: 49,33 | Total Utility: 221755.00 | Expected Support: 2074.01
10. Itemset: 40,33 | Total Utility: 186201.00 | Expected Support: 2155.12
11. Itemset: 40,49,33 | Total Utility: 178718.00 | Expected Support: 704.92
12. Itemset: 49,39 | Total Utility: 174526.00 | Expected Support: 2054.43
13. Itemset: 39 | Total Utility: 169948.00 | Expected Support: 7968.31
14. Itemset: 40,39 | Total Utility: 169824.00 | Expected Support: 2680.63
15. Itemset: 40,49,39 | Total Utility: 167949.00 | Expected Support: 796.26
16. Itemset: 39,37 | Total Utility: 152700.00 | Expected Support: 724.02
17. Itemset: 37 | Total Utility: 128688.00 | Expected Support: 1481.01
18. Itemset: 39,42 | Total Utility: 107938.00 | Expected Support: 999.83
19. Itemset: 33,42 | Total Utility: 105243.00 | Expected Support: 824.28
20. Itemset: 40,39,42 | Total Utility: 101509.00 | Expected Support: 400.63
21. Itemset: 40,37 | Total Utility: 100594.00 | Expected Support: 526.25
22. Itemset: 39,171 | Total Utility: 99552.00 | Expected Support: 763.98
23. Itemset: 49,37 | Total Utility: 77658.00 | Expected Support: 359.12
24. Itemset: 39,33 | Total Utility: 77365.00 | Expected Support: 740.40
25. Itemset: 171 | Total Utility: 68092.00 | Expected Support: 1536.48
26. Itemset: 2239 | Total Utility: 65765.00 | Expected Support: 876.83
27. Itemset: 414 | Total Utility: 61674.00 | Expected Support: 917.09
28. Itemset: 10 | Total Utility: 60968.00 | Expected Support: 691.03
29. Itemset: 40,171 | Total Utility: 56587.00 | Expected Support: 508.97
30. Itemset: 40,2239 | Total Utility: 56567.00 | Expected Support: 321.43
31. Itemset: 49,66 | Total Utility: 55912.00 | Expected Support: 641.32
32. Itemset: 49,171 | Total Utility: 50818.00 | Expected Support: 384.07
33. Itemset: 49,414 | Total Utility: 49906.00 | Expected Support: 288.18
34. Itemset: 66 | Total Utility: 49872.00 | Expected Support: 2253.76
35. Itemset: 40,49,66 | Total Utility: 49558.00 | Expected Support: 222.13
36. Itemset: 302 | Total Utility: 47383.00 | Expected Support: 613.87
37. Itemset: 49,2239 | Total Utility: 47309.00 | Expected Support: 253.55
38. Itemset: 605 | Total Utility: 47061.00 | Expected Support: 618.69
39. Itemset: 40,49,90 | Total Utility: 46865.00 | Expected Support: 265.80
40. Itemset: 40,66 | Total Utility: 46463.00 | Expected Support: 695.32
41. Itemset: 49,90 | Total Utility: 46345.00 | Expected Support: 704.96
42. Itemset: 39,111 | Total Utility: 45053.00 | Expected Support: 706.52
43. Itemset: 40,414 | Total Utility: 43297.00 | Expected Support: 274.86
44. Itemset: 61 | Total Utility: 41105.00 | Expected Support: 752.83
45. Itemset: 271 | Total Utility: 37880.00 | Expected Support: 900.60
46. Itemset: 49,311 | Total Utility: 37250.00 | Expected Support: 422.90
47. Itemset: 124 | Total Utility: 35975.00 | Expected Support: 644.98
48. Itemset: 977 | Total Utility: 35816.00 | Expected Support: 408.15
49. Itemset: 49,256 | Total Utility: 35336.00 | Expected Support: 271.51
50. Itemset: 80 | Total Utility: 35092.00 | Expected Support: 815.52
51. Itemset: 339 | Total Utility: 34580.00 | Expected Support: 633.56
52. Itemset: 40,271 | Total Utility: 33000.00 | Expected Support: 312.33
53. Itemset: 19 | Total Utility: 32977.00 | Expected Support: 424.09
54. Itemset: 256 | Total Utility: 32588.00 | Expected Support: 740.65
55. Itemset: 40,61 | Total Utility: 32238.00 | Expected Support: 255.79
56. Itemset: 49,476 | Total Utility: 31768.00 | Expected Support: 368.31
57. Itemset: 250 | Total Utility: 31765.00 | Expected Support: 587.24
58. Itemset: 49,61 | Total Utility: 31516.00 | Expected Support: 219.49
59. Itemset: 49,271 | Total Utility: 31160.00 | Expected Support: 258.40
60. Itemset: 40,49,226 | Total Utility: 30811.00 | Expected Support: 181.28
61. Itemset: 439 | Total Utility: 30792.00 | Expected Support: 937.74
62. Itemset: 40,311 | Total Utility: 30615.00 | Expected Support: 477.41
63. Itemset: 50 | Total Utility: 30595.00 | Expected Support: 583.13
64. Itemset: 40,80 | Total Utility: 30349.00 | Expected Support: 282.60
65. Itemset: 40,90 | Total Utility: 30268.00 | Expected Support: 691.33
66. Itemset: 49,80 | Total Utility: 29368.00 | Expected Support: 237.07
67. Itemset: 16011 | Total Utility: 29236.00 | Expected Support: 646.33
68. Itemset: 265 | Total Utility: 29136.00 | Expected Support: 458.65
69. Itemset: 148 | Total Utility: 29127.00 | Expected Support: 889.04
70. Itemset: 1345 | Total Utility: 29106.00 | Expected Support: 379.73
71. Itemset: 49,102 | Total Utility: 29040.00 | Expected Support: 334.02
72. Itemset: 79 | Total Utility: 29020.00 | Expected Support: 520.08
73. Itemset: 49,148 | Total Utility: 28647.00 | Expected Support: 261.27
74. Itemset: 49,226 | Total Utility: 28605.00 | Expected Support: 445.74
75. Itemset: 2052 | Total Utility: 28369.00 | Expected Support: 231.66
76. Itemset: 311 | Total Utility: 28286.00 | Expected Support: 1295.84
77. Itemset: 20 | Total Utility: 28125.00 | Expected Support: 511.68
78. Itemset: 49,439 | Total Utility: 28082.00 | Expected Support: 263.57
79. Itemset: 40,439 | Total Utility: 27899.00 | Expected Support: 316.79
80. Itemset: 42,66 | Total Utility: 27644.00 | Expected Support: 250.76
81. Itemset: 49,238 | Total Utility: 27623.00 | Expected Support: 426.80
82. Itemset: 426 | Total Utility: 26960.00 | Expected Support: 307.37
83. Itemset: 176 | Total Utility: 26465.00 | Expected Support: 486.83
84. Itemset: 287 | Total Utility: 26428.00 | Expected Support: 585.35
85. Itemset: 40,226 | Total Utility: 25940.00 | Expected Support: 610.90
86. Itemset: 1394 | Total Utility: 25712.00 | Expected Support: 591.53
87. Itemset: 40,476 | Total Utility: 24785.00 | Expected Support: 372.78
88. Itemset: 46 | Total Utility: 24710.00 | Expected Support: 469.09
89. Itemset: 534 | Total Utility: 24681.00 | Expected Support: 741.53
90. Itemset: 102 | Total Utility: 24590.00 | Expected Support: 1149.63
91. Itemset: 40,148 | Total Utility: 24526.00 | Expected Support: 299.11
92. Itemset: 1405 | Total Utility: 24450.00 | Expected Support: 220.77
93. Itemset: 810 | Total Utility: 24430.00 | Expected Support: 328.11
94. Itemset: 49,272 | Total Utility: 24208.00 | Expected Support: 257.28
95. Itemset: 476 | Total Utility: 23948.00 | Expected Support: 1083.63
96. Itemset: 49,534 | Total Utility: 23911.00 | Expected Support: 221.83
97. Itemset: 12926 | Total Utility: 23892.00 | Expected Support: 743.56
98. Itemset: 1147 | Total Utility: 23829.00 | Expected Support: 715.92
99. Itemset: 40,272 | Total Utility: 23703.00 | Expected Support: 358.37
100. Itemset: 1579 | Total Utility: 23645.00 | Expected Support: 450.29
101. Itemset: 260 | Total Utility: 23286.00 | Expected Support: 342.82
102. Itemset: 545 | Total Utility: 23225.00 | Expected Support: 438.87
103. Itemset: 40,102 | Total Utility: 23195.00 | Expected Support: 353.40
104. Itemset: 13042 | Total Utility: 23168.00 | Expected Support: 535.64
105. Itemset: 272 | Total Utility: 23118.00 | Expected Support: 1033.92
106. Itemset: 380 | Total Utility: 22992.00 | Expected Support: 337.48
107. Itemset: 49,111 | Total Utility: 22771.00 | Expected Support: 347.09
108. Itemset: 676 | Total Utility: 22764.00 | Expected Support: 297.62
109. Itemset: 682 | Total Utility: 22644.00 | Expected Support: 342.47
110. Itemset: 54 | Total Utility: 22632.00 | Expected Support: 259.12
111. Itemset: 49,1147 | Total Utility: 22597.00 | Expected Support: 205.92
112. Itemset: 49,12926 | Total Utility: 22370.00 | Expected Support: 202.29
113. Itemset: 1601 | Total Utility: 22010.00 | Expected Support: 396.11
